Our Pts,Our Yards,Our TOs,Their Pts,Their Yards,Their TOs
20,316,1,21,368,1
21,368,1,20,316,1
24,221,0,10,281,3
10,281,3,24,221,0
24,350,2,3,142,0
3,142,0,24,350,2
21,280,3,31,342,2
31,342,2,21,280,3
20,248,3,16,210,2
16,210,2,20,248,3
25,265,2,9,268,1
9,268,1,25,265,2
17,369,3,20,242,0
20,242,0,17,369,3
16,351,2,15,285,3
15,285,3,16,351,2
7,239,2,30,391,1
30,391,1,7,239,2
20,311,2,38,329,0
38,329,0,20,311,2
16,260,0,17,261,1
17,261,1,16,260,0
34,433,0,36,536,2
36,536,2,34,433,0
20,382,2,25,251,1
25,251,1,20,382,2
13,180,0,30,426,0
30,426,0,13,180,0
0,171,3,40,265,0
40,265,0,0,171,3
22,289,1,16,314,4
16,314,4,22,289,1
34,430,1,28,374,4
28,374,4,34,430,1
25,446,1,24,224,0
24,224,0,25,446,1
38,450,0,10,240,3
10,240,3,38,450,0
27,437,0,17,236,2
17,236,2,27,437,0
24,282,1,27,415,0
27,415,0,24,282,1
20,389,1,31,353,0
31,353,0,20,389,1
31,418,3,37,393,0
37,393,0,31,418,3
9,271,1,17,399,3
17,399,3,9,271,1
27,341,0,24,342,0
24,342,0,27,341,0
28,379,0,31,439,1
31,439,1,28,379,0
23,386,2,30,365,0
30,365,0,23,386,2
30,382,0,10,215,4
10,215,4,30,382,0
33,399,2,35,388,0
35,388,0,33,399,2
17,288,2,24,389,1
24,389,1,17,288,2
17,239,1,20,341,1
20,341,1,17,239,1
26,255,2,22,408,4
22,408,4,26,255,2
30,441,0,12,150,1
12,150,1,30,441,0
20,358,1,6,183,1
6,183,1,20,358,1
3,230,5,37,386,1
37,386,1,3,230,5
27,341,1,3,94,0
3,94,0,27,341,1
19,364,2,22,327,0
22,327,0,19,364,2
70,726,0,20,363,3
20,363,3,70,726,0
18,340,1,17,252,0
17,252,0,18,340,1
17,404,2,37,366,0
37,366,0,17,404,2
24,475,2,28,475,1
28,475,1,24,475,2
10,171,0,15,358,0
15,358,0,10,171,0
37,425,1,27,378,0
27,378,0,37,425,1
41,456,2,10,203,2
10,203,2,41,456,2
28,400,0,16,416,1
16,416,1,28,400,0
18,362,3,23,333,0
23,333,0,18,362,3
11,174,2,25,472,2
25,472,2,11,174,2
19,309,1,16,292,2
16,292,2,19,309,1
20,230,2,34,401,1
34,401,1,20,230,2
23,300,0,7,287,3
7,287,3,23,300,0
48,414,0,20,393,2
20,393,2,48,414,0
13,232,1,21,265,2
21,265,2,13,232,1
28,471,2,31,311,0
31,311,0,28,471,2
27,400,1,3,211,1
3,211,1,27,400,1
3,166,3,28,296,1
28,296,1,3,166,3
23,329,1,29,467,1
29,467,1,23,329,1
30,451,0,6,225,1
6,225,1,30,451,0
9,197,3,26,353,1
26,353,1,9,197,3
34,415,0,31,365,0
31,365,0,34,415,0
24,305,1,17,264,3
17,264,3,24,305,1
35,395,0,16,362,0
16,362,0,35,395,0
38,377,0,3,253,3
3,253,3,38,377,0
20,336,1,23,401,2
23,401,2,20,336,1
3,248,3,24,281,0
24,281,0,3,248,3
20,388,2,40,451,0
40,451,0,20,388,2
20,388,2,25,474,2
25,474,2,20,388,2
21,447,2,19,313,0
19,313,0,21,447,2
42,377,0,24,342,3
24,342,3,42,377,0
23,429,0,16,348,1
16,348,1,23,429,0
31,524,3,16,268,0
16,268,0,31,524,3
0,156,3,34,304,0
34,304,0,0,156,3
17,289,1,10,335,3
10,335,3,17,289,1
20,294,3,34,380,1
34,380,1,20,294,3
14,249,0,23,454,1
23,454,1,14,249,0
21,308,3,31,407,2
31,407,2,21,308,3
20,329,1,27,333,0
27,333,0,20,329,1
42,421,1,10,197,4
10,197,4,42,421,1
17,279,1,13,285,3
13,285,3,17,279,1
19,389,1,8,197,3
8,197,3,19,389,1
16,233,2,24,360,1
24,360,1,16,233,2
19,334,2,17,215,1
17,215,1,19,334,2
16,402,3,24,193,0
24,193,0,16,402,3
42,424,1,21,296,0
21,296,0,42,424,1
13,275,3,19,220,1
19,220,1,13,275,3
17,214,1,13,384,2
13,384,2,17,214,1
37,233,1,20,354,4
20,354,4,37,233,1
20,297,1,13,430,2
13,430,2,20,297,1
21,348,1,17,259,1
17,259,1,21,348,1
26,382,1,9,345,2
9,345,2,26,382,1
6,251,1,20,380,0
20,380,0,6,251,1
20,244,0,14,348,4
14,348,4,20,244,0
14,297,2,9,317,0
9,317,0,14,297,2
17,272,1,20,342,1
20,342,1,17,272,1
24,407,1,31,330,2
31,330,2,24,407,1
38,456,4,39,316,2
39,316,2,38,456,4
13,329,2,16,401,3
16,401,3,13,329,2
29,364,1,25,339,2
25,339,2,29,364,1
30,323,0,12,235,3
12,235,3,30,323,0
38,503,1,6,337,1
6,337,1,38,503,1
14,356,2,7,273,1
7,273,1,14,356,2
17,354,1,24,300,0
24,300,0,17,354,1
20,318,3,10,249,0
10,249,0,20,318,3
19,339,0,17,331,1
17,331,1,19,339,0
31,483,2,17,358,2
17,358,2,31,483,2
31,355,2,17,244,1
17,244,1,31,355,2
22,452,1,17,325,3
17,325,3,22,452,1
