Date,Time,Home Team,Home Pts,Home Yards,Home TO,Away Team,Away Pts,Away Yards,Away TO
9/7/2023,8:20PM,Kansas City Chiefs,20,316,1,Detroit Lions,21,368,1
9/10/2023,1:00PM,Atlanta Falcons,24,221,0,Carolina Panthers,10,281,3
9/10/2023,1:00PM,Cleveland Browns,24,350,2,Cincinnati Bengals,3,142,0
9/10/2023,1:00PM,Indianapolis Colts,21,280,3,Jacksonville Jaguars,31,342,2
9/10/2023,1:00PM,Washington Commanders,20,248,3,Arizona Cardinals,16,210,2
9/10/2023,1:00PM,Baltimore Ravens,25,265,2,Houston Texans,9,268,1
9/10/2023,1:00PM,Minnesota Vikings,17,369,3,Tampa Bay Buccaneers,20,242,0
9/10/2023,1:00PM,New Orleans Saints,16,351,2,Tennessee Titans,15,285,3
9/10/2023,1:00PM,Pittsburgh Steelers,7,239,2,San Francisco 49ers,30,391,1
9/10/2023,4:25PM,Chicago Bears,20,311,2,Green Bay Packers,38,329,0
9/10/2023,4:25PM,Denver Broncos,16,260,0,Las Vegas Raiders,17,261,1
9/10/2023,4:25PM,Los Angeles Chargers,34,433,0,Miami Dolphins,36,536,2
9/10/2023,4:25PM,New England Patriots,20,382,2,Philadelphia Eagles,25,251,1
9/10/2023,4:25PM,Seattle Seahawks,13,180,0,Los Angeles Rams,30,426,0
9/10/2023,8:20PM,New York Giants,0,171,3,Dallas Cowboys,40,265,0
9/11/2023,8:15PM,New York Jets,22,289,1,Buffalo Bills,16,314,4
9/14/2023,8:15PM,Philadelphia Eagles,34,430,1,Minnesota Vikings,28,374,4
9/17/2023,1:00PM,Atlanta Falcons,25,446,1,Green Bay Packers,24,224,0
9/17/2023,1:00PM,Buffalo Bills,38,450,0,Las Vegas Raiders,10,240,3
9/17/2023,1:00PM,Tampa Bay Buccaneers,27,437,0,Chicago Bears,17,236,2
9/17/2023,1:00PM,Cincinnati Bengals,24,282,1,Baltimore Ravens,27,415,0
9/17/2023,1:00PM,Houston Texans,20,389,1,Indianapolis Colts,31,353,0
9/17/2023,1:00PM,Detroit Lions,31,418,3,Seattle Seahawks,37,393,0
9/17/2023,1:00PM,Jacksonville Jaguars,9,271,1,Kansas City Chiefs,17,399,3
9/17/2023,1:00PM,Tennessee Titans,27,341,0,Los Angeles Chargers,24,342,0
9/17/2023,4:05PM,Arizona Cardinals,28,379,0,New York Giants,31,439,1
9/17/2023,4:05PM,Los Angeles Rams,23,386,2,San Francisco 49ers,30,365,0
9/17/2023,4:25PM,Dallas Cowboys,30,382,0,New York Jets,10,215,4
9/17/2023,4:25PM,Denver Broncos,33,399,2,Washington Commanders,35,388,0
